LocID,PerilID,CoverageTypeID,AreaPerilID,VulnerabilityID
1,WW1,1,1,1
1,WW1,3,1,1
1,WW1,4,1,1
2,WW1,1,2,1
2,WW1,3,2,1
2,WW1,4,2,1
3,WW1,1,3,1
3,WW1,3,3,1
3,WW1,4,3,1
4,WW1,1,4,1
4,WW1,3,4,1
4,WW1,4,4,1
5,WW1,1,5,1
5,WW1,3,5,1
5,WW1,4,5,1
6,WW1,1,6,1
6,WW1,3,6,1
6,WW1,4,6,1
7,WW1,1,7,1
7,WW1,3,7,1
7,WW1,4,7,1
8,WW1,1,8,1
8,WW1,3,8,1
8,WW1,4,8,1
9,WW1,1,9,1
9,WW1,3,9,1
9,WW1,4,9,1
10,WW1,1,10,1
10,WW1,3,10,1
10,WW1,4,10,1
11,WW1,1,11,1
11,WW1,3,11,1
11,WW1,4,11,1
12,WW1,1,12,1
12,WW1,3,12,1
12,WW1,4,12,1
13,WW1,1,13,1
13,WW1,3,13,1
13,WW1,4,13,1
14,WW1,1,14,1
14,WW1,3,14,1
14,WW1,4,14,1
15,WW1,1,15,1
15,WW1,3,15,1
15,WW1,4,15,1
16,WW1,1,16,1
16,WW1,3,16,1
16,WW1,4,16,1
17,WW1,1,17,1
17,WW1,3,17,1
17,WW1,4,17,1
18,WW1,1,18,1
18,WW1,3,18,1
18,WW1,4,18,1
19,WW1,1,19,1
19,WW1,3,19,1
19,WW1,4,19,1
20,WW1,1,20,1
20,WW1,3,20,1
20,WW1,4,20,1
