PortNumber,AccNumber,LocNumber,CountryCode,Latitude,Longitude,OccupancyCode,ConstructionCode,NumberOfStoreys,YearBuilt,BuildingTIV,ContentsTIV,BITIV,LocDed6All,LocDedType6All,LocLimit6All,LocPerilsCovered,LocPeril,LocCurrency,OtherTIV
1,SREIT-01,LOC001,SG,1.2789,103.8536,1100,5000,40,2010,250000,75000,50000,7500.0,0,0,WW1,WW1,USD,0
1,SREIT-01,LOC002,SG,1.283,103.8513,1100,5000,35,2015,320000,96000,64000,9600.0,0,0,WW1,WW1,USD,0
1,SREIT-01,LOC003,SG,1.3048,103.8318,1100,5000,22,2005,180000,54000,36000,5400.0,0,0,WW1,WW1,USD,0
1,SREIT-01,LOC004,SG,1.3521,103.8198,1100,5000,12,2000,120000,36000,24000,3600.0,0,0,WW1,WW1,USD,0
1,SREIT-02,LOC005,SG,1.3,103.8456,1200,5000,6,2012,200000,100000,40000,6800.0,0,0,WW1,WW1,USD,0
1,SREIT-02,LOC006,SG,1.3329,103.7436,1200,5000,4,2008,150000,75000,30000,5100.0,0,0,WW1,WW1,USD,0
1,SREIT-02,LOC007,SG,1.3496,103.9492,1200,5000,5,2010,130000,65000,26000,4420.0,0,0,WW1,WW1,USD,0
1,SREIT-02,LOC008,SG,1.4382,103.7891,1200,5000,3,2015,100000,50000,20000,3400.0,0,0,WW1,WW1,USD,0
1,SREIT-03,LOC009,SG,1.3187,103.6933,1150,5000,2,2020,400000,200000,120000,14400.0,0,0,WW1,WW1,USD,0
1,SREIT-03,LOC010,SG,1.3279,103.7367,1150,5000,2,2019,350000,175000,105000,12600.0,0,0,WW1,WW1,USD,0
1,SREIT-03,LOC011,SG,1.36,103.9886,1150,5000,3,2021,450000,225000,135000,16200.0,0,0,WW1,WW1,USD,0
1,SREIT-04,LOC012,SG,1.31,103.71,1300,5201,1,2016,80000,40000,16000,2720.0,0,0,WW1,WW1,USD,0
1,SREIT-04,LOC013,SG,1.336,103.7,1300,5201,1,2014,70000,35000,14000,2380.0,0,0,WW1,WW1,USD,0
1,SREIT-04,LOC014,SG,1.345,103.68,1300,5201,2,2018,90000,45000,18000,3060.0,0,0,WW1,WW1,USD,0
1,SREIT-04,LOC015,SG,1.354,103.938,1300,5201,1,2013,65000,32500,13000,2210.0,0,0,WW1,WW1,USD,0
1,SREIT-05,LOC016,SG,1.443,103.786,1400,5200,3,2011,95000,47500,19000,3230.0,0,0,WW1,WW1,USD,0
1,SREIT-05,LOC017,SG,1.37,103.87,1400,5200,4,2009,110000,55000,22000,3740.0,0,0,WW1,WW1,USD,0
1,SREIT-05,LOC018,SG,1.395,103.745,1400,5200,2,2017,75000,37500,15000,2550.0,0,0,WW1,WW1,USD,0
1,SREIT-05,LOC019,SG,1.32,103.895,1100,5000,18,2022,200000,60000,40000,6000.0,0,0,WW1,WW1,USD,0
1,SREIT-05,LOC020,SG,1.2756,103.846,1100,5000,30,2018,280000,84000,56000,8400.0,0,0,WW1,WW1,USD,0
